# px     value
0    13194
1    24113
2    26899
3    22297
4    11430
5    1987
6    1065
7    961
16    933
17    982
18    1287
19    4213
20    14150
21    25080
22    26683
23    20861
24    9286
25    1643
26    992
27    929
28    915
35    913
36    930
37    961
38    1120
39    2758
40    10823
41    22285
42    26092
43    22161
44    11063
45    2053
46    1016
47    931
48    773
57    932
58    956
59    1308
60    4569
61    15291
62    22450
63    22333
64    16323
65    5029
66    1157
67    943
68    903
69    775
78    912
79    966
80    1263
81    4590
82    14398
83    20615
84    20248
85    13936
86    3785
87    1069
88    905
100    927
101    1042
102    2724
103    10335
104    18029
105    18766
106    14350
107    5464
108    1163
109    930
122    904
123    1199
124    4369
125    13362
126    17898
127    16412
128    10699
129    2502
130    990
131    899
143    775
144    919
145    1163
146    4217
147    12337
148    16448
149    15777
150    10046
151    2360
152    974
167    970
168    2136
169    9056
170    14863
171    15806
172    12608
173    4498
174    1100
175    903
189    889
190    1026
191    2912
192    10835
193    14892
194    15234
195    10374
196    2780
197    1000
198    890
213    957
214    2181
215    9228
216    14317
217    14450
218    11201
219    3596
220    1020
221    882
236    889
237    1112
238    4444
239    12116
240    15039
241    13388
242    7639
243    1547
244    913
260    890
261    1112
262    4555
263    11600
264    13976
265    12701
266    7059
267    1404
268    902
285    961
286    2257
287    8753
288    12501
289    12945
290    8956
291    2425
292    949
310    986
311    3293
312    9878
313    12591
314    12269
315    7449
316    1680
317    916
335    929
336    2121
337    8557
338    12374
339    12748
340    8963
341    2441
342    942
361    1019
362    3903
363    9923
364    12241
365    11553
366    6582
367    1387
368    892
387    974
388    3154
389    9247
390    11621
391    11157
392    6770
393    1540
394    881
413    881
414    1298
415    5592
416    10283
417    11512
418    9416
419    3687
420    1032
440    876
441    1278
442    5526
443    10251
444    11086
445    9200
446    3676
447    1021
468    939
469    2575
470    7777
471    10237
472    9793
473    6455
474    1537
475    887
496    930
497    2525
498    7485
499    9390
500    9050
501    5788
502    1394
503    873
525    1286
526    4811
527    8195
528    8274
529    7010
530    2475
531    938
554    1302
555    4663
556    7325
557    7619
558    6182
559    2109
560    900
583    929
584    2496
585    5760
586    7223
587    6641
588    3565
589    1079
613    909
614    2408
615    5318
616    6240
617    5831
618    3037
619    988
644    1292
645    3700
646    5141
647    5304
648    4131
649    1515
650    849
675    1204
676    3247
677    4695
678    4735
679    3656
680    1442
681    852
706    875
707    1772
708    3563
709    4174
710    3885
711    2251
712    958
739    1459
740    3085
741    3714
742    3584
743    2326
744    992
771    889
772    1799
773    3097
774    3387
775    3029
776    1649
777    867
804    833
805    1388
806    2587
807    3004
808    2884
809    1890
810    945
838    852
839    1465
840    2451
841    2774
842    2514
843    1584
844    869
866    778
871    782
872    803
873    1250
874    2579
875    3082
876    3284
877    2719
878    1249
879    808
908    975
909    1739
910    2334
911    2330
912    1867
913    1053
943    829
944    1148
945    1837
946    2196
947    2138
948    1523
949    904
980    980
981    1565
982    2029
983    2056
984    1625
985    1014
1016    820
1017    1179
1018    2378
1019    3546
1020    3609
1021    2815
1022    1305
1023    826
1024    786
1038    773
1054    825
1055    1148
1056    1697
1057    1871
1058    1822
1059    1327
1060    882
1092    815
1093    996
1094    1474
1095    1815
1096    1816
1097    1484
1098    960
1132    1001
1133    1469
1134    1783
1135    1763
1136    1439
1137    978
1171    843
1172    1101
1173    1570
1174    1862
1175    1775
1176    1320
1177    889
1211    814
1212    978
1213    1455
1214    1911
1215    1936
1216    1632
1217    1061
1218    818
1252    810
1253    945
1254    1421
1255    1987
1256    2101
1257    1809
1258    1213
1259    851
1294    821
1295    1032
1296    1574
1297    2175
1298    2282
1299    1911
1300    1260
1301    850
1337    868
1338    1192
1339    2016
1340    2576
1341    2571
1342    1968
1343    1168
1344    832
1380    829
1381    1067
1382    1717
1383    2804
1384    3207
1385    2773
1386    1741
1387    988
1388    814
1393    771
1424    828
1425    1011
1426    1708
1427    2937
1428    3702
1429    3570
1430    2518
1431    1300
1432    878
1468    814
1469    846
1470    1031
1471    1860
1472    3517
1473    4758
1474    4798
1475    3530
1476    1705
1477    945
1478    826
1515    898
1516    1241
1517    2476
1518    5065
1519    6979
1520    6947
1521    5161
1522    2498
1523    1067
1524    853
1561    840
1562    970
1563    1524
1564    3427
1565    6576
1566    9089
1567    8801
1568    6007
1569    2631
1570    1116
1571    872
1572    842
1608    846
1609    871
1610    1133
1611    2104
1612    4862
1613    8824
1614    11123
1615    9664
1616    6380
1617    2541
1618    1067
1619    883
1657    884
1658    1003
1659    1662
1660    4040
1661    9266
1662    15109
1663    16922
1664    13771
1665    7744
1666    2635
1667    1088
1668    897
1703    875
1705    883
1706    883
1707    957
1708    1318
1709    3030
1710    7550
1711    15385
1712    21246
1713    21433
1714    15658
1715    7275
1716    2221
1717    1090
1718    909
1719    892
1756    894
1757    916
1758    1058
1759    1824
1760    4376
1761    10882
1762    17903
1763    22854
1764    20360
1765    12815
1766    4989
1767    1636
1768    981
1769    910
1770    878
1805    885
1806    889
1807    888
1808    918
1809    973
1810    1388
1811    3225
1812    8275
1813    16676
1814    25967
1815    29251
1816    22057
1817    12012
1818    3913
1819    1392
1820    979
1821    930
1822    898
1823    878
1824    875
1858    876
1860    877
1861    901
1862    1029
1863    1699
1864    4069
1865    9612
1866    17010
1867    22187
1868    22226
1869    15167
1870    6776
1871    2315
1872    1095
1873    925
1874    884
1916    863
1917    1137
1918    1966
1919    3546
1920    5504
1921    6226
1922    5424
1923    3467
1924    1768
1925    994
1972    847
1973    982
1974    1192
1975    1423
1976    1448
1977    1301
1978    1041
1979    868
2029    799
2030    832
2031    845
2032    839
2033    831
2034    803
