# px         value
0         852
1         882
2         895
3         884
4         844
20         817
21         842
22         832
23         817
40         812
41         839
42         836
43         833
61         814
62         831
63         836
64         826
82         823
83         845
84         841
85         826
103         797
104         822
105         819
106         810
124         827
125         931
126         979
127         973
128         921
129         812
146         792
147         809
148         820
149         808
150         795
169         793
170         805
171         810
172         797
191         809
192         911
193         968
194         975
195         898
196         803
215         816
216         851
217         850
218         825
238         810
239         875
240         904
241         888
242         834
262         810
263         878
264         893
265         889
266         840
287         799
288         813
289         826
290         795
312         792
313         796
314         791
315         788
337         795
338         802
339         803
340         790
363         792
364         808
365         805
366         789
389         839
390         852
391         849
392         818
415         810
416         845
417         855
418         845
419         796
441         837
442         1351
443         1736
444         1827
445         1737
446         1142
447         789
470         804
471         807
472         804
473         799
498         820
499         837
500         838
501         809
526         826
527         870
528         871
529         869
530         798
555         809
556         850
557         854
558         821
585         803
586         805
587         804
588         786
614         803
615         873
616         877
617         874
618         808
644         787
645         840
646         873
647         865
648         859
649         804
675         784
676         832
677         869
678         867
679         848
680         787
707         793
708         829
709         843
710         837
711         806
740         781
741         782
742         785
743         782
771         779
772         799
773         842
774         854
775         849
776         791
806         785
807         796
808         793
809         781
839         781
840         782
841         792
842         786
866         778
871         782
872         803
873         1250
874         2579
875         3082
876         3284
877         2719
878         1249
879         808
909         793
910         811
911         810
912         793
944         784
945         801
946         808
947         822
948         801
980         786
981         809
982         830
983         826
984         808
985         785
1016         820
1017         1179
1018         2378
1019         3546
1020         3609
1021         2815
1022         1305
1023         826
1024         786
1056         789
1057         793
1058         792
1094         782
1095         799
1096         794
1097         787
1133         811
1134         824
1135         819
1136         803
1172         803
1173         826
1174         855
1175         846
1176         824
1213         784
1214         797
1215         806
1216         796
1254         799
1255         820
1256         835
1257         827
1258         795
1296         781
1297         798
1298         811
1299         790
1300         782
1339         796
1340         807
1341         812
1342         793
1382         780
1383         783
1384         788
1385         795
1386         782
1425         793
1426         851
1427         969
1428         1083
1429         1060
1430         968
1431         842
1471         785
1472         808
1473         837
1474         840
1475         817
1518         777
1519         795
1520         792
1521         784
1565         777
1566         786
1567         781
1568         777
